product_id,sku,product_name,category,subcategory,brand,unit_cost,selling_price,supplier_id,standard_lead_time_days,minimum_order_quantity,shelf_life_days,is_seasonal,launch_date,product_status
P00001,HOM-00001-5270,Timbercrest X200 Stock Pot,Home & Kitchen,Cookware,Timbercrest,6.61,10.99,SUP026,32,398,,False,2025-10-03,Active
P00002,HOM-00002-9258,Harborlight Elite Comforter,Home & Kitchen,Bedding & Linens,Harborlight,85.45,188.99,SUP176,52,85,,False,2025-06-06,Active
P00003,BEA-00003-5891,Ostrom Advanced Styling Cream,Beauty,Haircare,Ostrom,9.76,21.99,SUP018,49,331,146.0,False,2025-12-25,Active
P00004,HOM-00004-5980,Willowbrook Deluxe Shelving Unit,Home & Kitchen,Storage & Organization,Willowbrook,5.01,7.99,SUP194,3,399,,False,2025-06-14,Active
P00005,ELE-00005-8377,Sunneva Max Sleep Tracker Ring,Electronics,Wearable Tech,Sunneva,29.24,45.99,SUP159,15,133,,False,2024-04-24,Active
P00006,ELE-00006-4155,Fernwood Pro Screen Protector 2-Pack,Electronics,Mobile Accessories,Fernwood,25.42,46.99,SUP211,24,166,,False,2025-01-07,Active
P00007,PER-00007-4146,Ashford Pro Smart Scale,Personal Care,Health Monitoring,Ashford,1.92,3.99,SUP215,14,592,545.0,False,2026-06-19,Active
P00008,ELE-00008-7712,NorthPoint Everyday Plus Smart Plug,Electronics,Smart Home Devices,NorthPoint,115.29,194.99,SUP028,52,50,,False,2026-01-21,Active
P00009,ELE-00009-3199,Vaultis Elite Camera Backpack,Electronics,Cameras & Accessories,Vaultis,12.8,27.99,SUP068,29,217,,False,2024-11-16,Active
P00010,BEA-00010-8452,Sunneva Compact Body Wash,Beauty,Bath & Body,Sunneva,4.93,12.99,SUP060,27,521,289.0,False,2026-04-28,Active
P00011,HOM-00011-5938,BlueStone Ultra Pillow 2-Pack,Home & Kitchen,Bedding & Linens,BlueStone,16.96,32.99,SUP171,57,205,,False,2024-01-07,Active
P00012,PER-00012-3748,Ironclad Ultra Blood Pressure Monitor,Personal Care,Health Monitoring,Ironclad,8.47,15.99,SUP064,12,335,251.0,False,2025-05-01,Active
P00013,PER-00013-9478,Crestmark Everyday Whitening Kit,Personal Care,Oral Care,Crestmark,3.5,6.99,SUP152,10,516,213.0,False,2025-12-06,Active
P00014,BEA-00014-2306,Palisade Deluxe Shampoo & Conditioner Set,Beauty,Haircare,Palisade,10.2,29.99,SUP117,11,244,209.0,False,2025-09-06,Active
