supplier_id,supplier_name,supplier_region,country,supplier_type,quality_rating,reliability_score,payment_terms_days,average_lead_time_days,on_time_delivery_rate,defect_rate,capacity_units_per_month,supplier_status
SUP001,Jasperline Industries,Europe,Germany,Manufacturer,4,79.3,45,10,0.9275,0.0208,14770,Active
SUP002,Delta Holdings,South Asia,India,Manufacturer,4,80.6,30,39,0.9568,0.0057,3352,Active
SUP003,Rockford Fabrication,Europe,Italy,Manufacturer,5,96.3,60,7,0.992,0.0065,43940,Active
SUP004,Crestmark Inc.,North America,Mexico,Manufacturer,4,77.0,45,11,0.9229,0.0154,36826,Active
SUP005,Coral Bay Components,East Asia,China,Manufacturer,4,77.5,45,35,0.9447,0.0191,56456,Active
SUP006,Cedarwood Inc.,Middle East,Turkey,Contract Packager,3,53.8,90,43,0.8793,0.0293,6386,Active
SUP007,Everline Inc.,North America,Canada,Manufacturer,4,75.2,30,20,0.9376,0.0165,62428,Active
SUP008,Kestrel Corporation,Europe,Germany,Manufacturer,3,56.8,60,19,0.886,0.033,315757,Active
SUP009,Jasperline Enterprises,East Asia,China,Manufacturer,4,78.9,60,26,0.9144,0.0171,32540,Active
SUP010,Timbergate Ltd.,South Asia,India,Manufacturer,4,67.4,30,46,0.8659,0.0234,27697,Active
SUP011,Vantage Corporation,Southeast Asia,Indonesia,Manufacturer,4,79.8,15,32,0.9673,0.0178,42419,Active
SUP012,Kestrel Fabrication,Latin America,Brazil,Manufacturer,5,91.3,30,28,0.9704,0.0069,307794,Active
SUP013,Palisade Group,North America,United States,Manufacturer,3,54.1,60,9,0.8173,0.0419,9162,Probation
SUP014,Cedarwood Components,Europe,Germany,Manufacturer,4,73.5,30,10,0.9025,0.0222,37560,Active
SUP015,Foundry Row Inc.,South Asia,India,Distributor,4,66.8,45,35,0.9141,0.0241,11854,Active
SUP016,Wrenfield Fabrication,Southeast Asia,Vietnam,Manufacturer,4,74.7,15,31,0.9099,0.0191,15850,Active
SUP017,Cedarwood Inc. (2),North America,United States,Manufacturer,4,69.8,30,14,0.9144,0.0142,28084,Active
SUP018,Rockford Supply Co.,East Asia,China,Distributor,4,80.5,45,47,0.9561,0.0191,140003,Active
SUP019,Ashgrove Group,Europe,Germany,Manufacturer,5,90.9,30,15,0.9428,0.0075,235894,Active
SUP020,Foundry Row Supply Co.,North America,United States,Manufacturer,5,92.7,60,8,0.9523,0.001,49780,Active
SUP021,Crestmark Group,North America,Canada,Manufacturer,4,65.6,30,16,0.8832,0.0299,19282,Active
SUP022,Quinlan Corporation,Southeast Asia,Indonesia,Manufacturer,3,40.0,60,56,0.8465,0.0398,522641,Probation
SUP023,Dunmore Components,Middle East,Turkey,Manufacturer,3,47.5,30,50,0.8704,0.0413,18184,Active
SUP024,Everline Ltd.,Europe,Poland,Contract Packager,5,96.2,90,13,0.994,0.001,15417,Active
SUP025,Quinlan Ltd.,Europe,Germany,Contract Packager,3,54.7,45,12,0.8626,0.0327,3862,Probation
SUP026,Wrenfield Group,East Asia,South Korea,Contract Packager,3,67.5,15,32,0.9035,0.0309,148080,Active
SUP027,Ironbridge Global,South Asia,India,Manufacturer,4,69.6,15,44,0.9022,0.0279,90534,Active
SUP028,Coral Bay Corporation,East Asia,China,Manufacturer,3,64.8,15,50,0.8814,0.029,479489,Active
SUP029,Ivywood Inc.,East Asia,China,Manufacturer,4,78.2,45,31,0.918,0.0197,6015,Active
SUP030,Novagen Industries,North America,Mexico,Manufacturer,5,96.3,60,8,0.978,0.0078,159038,Active
SUP031,Rockford Manufacturing,North America,Canada,Manufacturer,2,24.9,30,23,0.7905,0.0527,32230,Probation
SUP032,BlueStone Industries,Middle East,Turkey,Manufacturer,3,46.0,30,48,0.8688,0.0317,75133,Probation
SUP033,Kingsford Fabrication,Southeast Asia,Indonesia,Manufacturer,3,70.0,45,51,0.895,0.0266,4470,Active
SUP034,Rockford Fabrication (2),Southeast Asia,Indonesia,Manufacturer,4,88.7,45,49,0.9268,0.0189,160861,Active
SUP035,Calderon Industries,South Asia,India,Manufacturer,3,50.9,45,30,0.8414,0.0408,73460,Probation
SUP036,Silvertip Industries,East Asia,South Korea,Distributor,4,75.0,30,24,0.9271,0.0187,28432,Active
SUP037,Novagen Components,East Asia,China,Manufacturer,4,59.4,45,36,0.8682,0.0389,62435,Active
SUP038,Vantage Inc.,South Asia,India,Wholesaler,4,83.3,90,41,0.9756,0.0237,12329,Active
SUP039,Ashgrove Group (2),Southeast Asia,Vietnam,Manufacturer,4,71.9,30,55,0.8799,0.0267,15270,Active
SUP040,Highmoor Corporation,North America,Mexico,Manufacturer,3,48.1,15,20,0.858,0.0395,17449,Probation
SUP041,BlueStone Holdings,South Asia,India,Manufacturer,5,83.3,30,57,0.9656,0.0194,3531,Active
SUP042,Graystone Trading Co.,Europe,Germany,Manufacturer,5,89.3,45,17,0.9522,0.0077,80099,Active
SUP043,Graystone Group,North America,Mexico,Manufacturer,4,78.3,30,18,0.9732,0.0218,117047,Active
SUP044,Delta Fabrication,Southeast Asia,Vietnam,Manufacturer,5,90.8,60,32,0.9688,0.0021,13273,Active
SUP045,Delta Global,Europe,Germany,Distributor,3,67.9,45,18,0.8984,0.0283,44375,Active
SUP046,Wrenfield Trading Co.,Europe,Germany,Manufacturer,5,80.4,45,16,0.9105,0.018,21908,Active
SUP047,Graystone Corporation,South Asia,India,Manufacturer,3,60.3,45,30,0.8669,0.0301,43370,Active
SUP048,Coral Bay Fabrication,Southeast Asia,Vietnam,Contract Packager,4,83.1,30,26,0.9434,0.0125,14448,Active
SUP049,Timbergate Enterprises,North America,Mexico,Manufacturer,4,73.5,60,17,0.9331,0.0223,10765,Active
SUP050,Marlowe Global,East Asia,China,Distributor,4,91.3,15,57,0.954,0.016,99697,Active
SUP051,Ironbridge Manufacturing,East Asia,South Korea,Manufacturer,3,48.6,45,30,0.8767,0.0386,27627,Probation
SUP052,Cedarwood Holdings,East Asia,China,Manufacturer,4,83.5,60,56,0.947,0.0128,304195,Active
SUP053,Marlowe Trading Co.,Europe,Germany,Manufacturer,5,95.7,45,13,0.9708,0.0066,31359,Active
SUP054,Crestmark Manufacturing,North America,United States,Manufacturer,2,27.0,60,14,0.8222,0.0586,10250,Inactive
SUP055,Amberton Trading Co.,North America,Mexico,Distributor,2,22.4,30,13,0.7903,0.0599,121903,Inactive
SUP056,Kestrel Group,Europe,Germany,Manufacturer,5,87.2,60,7,0.9538,0.0099,61416,Active
SUP057,Foundry Row Corporation,South Asia,India,Manufacturer,3,53.6,45,45,0.8653,0.0393,68590,Active
SUP058,Harborlight Ltd.,North America,United States,Manufacturer,3,66.5,45,9,0.8735,0.0268,116914,Active
SUP059,Wrenfield Ltd.,East Asia,China,Wholesaler,2,34.1,15,54,0.8305,0.0484,14035,Probation
